场景路径,章节名称,轨道名称,轨道类型,Clip,Clip数量
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_movement,dialog lines,1,toolsDialogLineEventDescriptor,1
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_movement,guard_street_01,2,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_movement,idle,3,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_movement,animation,4,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_movement,facial,5,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_movement,lookAt,6,toolsLookAtDescriptor,1
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_movement,logic,8,scnbeventsSocketDescriptor,2
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_movement,logic,8,scnbeventsSocketDescriptor,2
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_movement,guard_street_02,2,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_movement,idle,3,scnbeventsChangeWorkEvent,1
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_movement,animation,4,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_movement,facial,5,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_movement,lookAt,6,toolsLookAtDescriptor,1
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_movement,logic,8,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_nod,dialog lines,1,toolsDialogLineEventDescriptor,1
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_nod,guard_street_02,2,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_nod,idle,3,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_nod,animation,4,toolsPlaySkAnimDescriptor,1
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_nod,facial,5,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_nod,lookAt,6,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_nod,logic,8,,0
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_to_hanako,dialog lines,1,toolsDialogLineEventDescriptor,2
