场景路径,章节名称,scnbeventsAttachPropDescriptor,scnbeventsCameraClipDescriptor,scnbeventsChangeWorkEvent,scnbeventsSocketDescriptor,scnbeventsStopWorkEvent,scnbeventsVFXDurationEventDescriptor,scnbeventsVFXEventDescriptor,toolsAddIdleEventDescriptor,toolsAudioEventDescriptor,toolsChangeIdleAnimDescriptor,toolsDialogLineEventDescriptor,toolsLookAtAdvancedDescriptor,toolsLookAtDescriptor,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_movement,0,0,1,2,0,0,0,0,0,0,1,0,2,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_nod,0,0,0,0,0,0,0,0,0,0,1,0,0,1
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_to_hanako,0,0,0,2,0,0,2,0,0,2,2,0,1,1
base\quest\testgym\meethanako.scenesolution,q115_00b_08,0,0,0,1,0,0,0,0,0,0,1,2,0,1
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guards_lookats,0,0,0,0,0,0,0,0,0,2,0,0,2,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_moving_back,0,0,2,0,0,0,0,0,0,0,0,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_35_reset_placement_of_street_bodyguards,0,0,2,0,0,0,0,0,0,0,0,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_11,0,0,1,0,0,0,0,0,0,0,0,0,2,1
base\quest\testgym\meethanako.scenesolution,q115_00b_guards_scenespots,0,0,1,0,0,0,0,0,0,0,0,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_41,0,0,0,0,1,0,0,0,0,0,0,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_23,0,0,1,0,0,0,0,0,0,0,0,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_pose,0,0,1,2,0,0,0,0,0,0,0,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_greet,0,0,0,1,0,0,0,0,0,0,1,0,0,1
base\quest\testgym\meethanako.scenesolution,q115_00b_25,0,0,0,0,0,0,0,0,0,1,1,0,1,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_01_lookat,0,0,1,0,0,0,0,0,0,0,0,0,1,0
base\quest\testgym\meethanako.scenesolution,q115_00b_greeting,0,0,0,1,0,0,0,0,0,0,1,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_player_bowing,0,0,0,1,0,0,0,0,0,0,0,0,1,1
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_idle_sitting_in_the_back,0,0,1,0,0,0,0,0,0,0,0,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_reaction,0,0,0,0,0,0,0,0,0,0,1,0,2,2
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama_faster,0,0,2,1,0,0,0,0,0,0,3,0,0,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama,0,0,1,1,0,0,0,0,0,0,3,0,0,1
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,0,0,2,1,0,0,0,0,0,2,5,0,2,3
base\quest\testgym\meethanako.scenesolution,q115_00b_family_answer,0,0,1,0,0,0,0,0,0,0,0,0,0,3
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed,0,0,1,0,0,0,0,0,0,1,1,0,1,0
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed_lookat_reaction,0,0,0,0,0,0,0,0,0,0,0,0,1,0
