场景路径,章节名称,所有Clip类型,不同Clip类型数量,总Clip数量,Clip类型详情
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_movement,"scnbeventsChangeWorkEvent, scnbeventsSocketDescriptor, toolsDialogLineEventDescriptor, toolsLookAtDescriptor",4,6,"{'toolsDialogLineEventDescriptor': 1, 'scnbeventsChangeWorkEvent': 1, 'toolsLookAtDescriptor': 2, 'scnbeventsSocketDescriptor': 2}"
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_nod,"toolsDialogLineEventDescriptor, toolsPlaySkAnimDescriptor",2,2,"{'toolsDialogLineEventDescriptor': 1, 'toolsPlaySkAnimDescriptor': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_to_hanako,"scnbeventsSocketDescriptor, scnbeventsVFXEventDescriptor, toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor, toolsLookAtDescriptor, toolsPlaySkAnimDescriptor",6,10,"{'scnbeventsVFXEventDescriptor': 2, 'toolsLookAtDescriptor': 1, 'toolsDialogLineEventDescriptor': 2, 'toolsChangeIdleAnimDescriptor': 2, 'scnbeventsSocketDescriptor': 2, 'toolsPlaySkAnimDescriptor': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_08,"scnbeventsSocketDescriptor, toolsDialogLineEventDescriptor, toolsLookAtAdvancedDescriptor, toolsPlaySkAnimDescriptor",4,5,"{'toolsDialogLineEventDescriptor': 1, 'toolsLookAtAdvancedDescriptor': 2, 'toolsPlaySkAnimDescriptor': 1, 'scnbeventsSocketDescriptor': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guards_lookats,"toolsChangeIdleAnimDescriptor, toolsLookAtDescriptor",2,4,"{'toolsLookAtDescriptor': 2, 'toolsChangeIdleAnimDescriptor': 2}"
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_moving_back,scnbeventsChangeWorkEvent,1,2,{'scnbeventsChangeWorkEvent': 2}
base\quest\testgym\meethanako.scenesolution,q115_00b_35_reset_placement_of_street_bodyguards,scnbeventsChangeWorkEvent,1,2,{'scnbeventsChangeWorkEvent': 2}
base\quest\testgym\meethanako.scenesolution,q115_00b_11,"scnbeventsChangeWorkEvent, toolsLookAtDescriptor, toolsPlaySkAnimDescriptor",3,4,"{'toolsPlaySkAnimDescriptor': 1, 'scnbeventsChangeWorkEvent': 1, 'toolsLookAtDescriptor': 2}"
base\quest\testgym\meethanako.scenesolution,q115_00b_guards_scenespots,scnbeventsChangeWorkEvent,1,1,{'scnbeventsChangeWorkEvent': 1}
base\quest\testgym\meethanako.scenesolution,q115_00b_41,scnbeventsStopWorkEvent,1,1,{'scnbeventsStopWorkEvent': 1}
