场景路径,段落名称,动画名称,使用次数
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_to_hanako,None,6
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guards_lookats,None,6
base\quest\testgym\meethanako.scenesolution,q115_00b_25,None,3
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,None,6
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed,None,3
base\quest\testgym\meethanako.scenesolution,q115_00b_relax_johnny,None,3
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed_02,None,3
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_inital_pose2,None,3
base\quest\testgym\meethanako.scenesolution,q115_00b_no_love_for_corpo_01,None,3
base\quest\testgym\meethanako.scenesolution,q115_00b_angry_mean,None,6
base\quest\testgym\meethanako.scenesolution,q115_00b_mikoshi,None,6
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_comment_03,None,3
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_drinking,None,3
base\quest\testgym\meethanako.scenesolution,q115_00b_my_brother,None,3
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_comment_04,add__stand_table_lean0__2h_on_table__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_comment_04,None,1
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_comment_04,stand_table_lean0__2h_on_table__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_business_of_arasakas,None,3
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_conclusion,None,9
base\quest\testgym\meethanako.scenesolution,q115_00b_good_offert,None,3
base\quest\testgym\meethanako.scenesolution,q115_00b_rather_not_offert,None,3
base\quest\testgym\meethanako.scenesolution,q115_00b_nervous_johnny,None,3
base\quest\testgym\meethanako.scenesolution,q115_00b_furious_johnny,None,3
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_backtopose,None,6
base\quest\testgym\meethanako.scenesolution,q115_00b_v_is_fine,None,3
base\quest\testgym\meethanako.scenesolution,q115_00b_v_is_not_good,None,3
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_power_fluff,None,6
base\quest\testgym\meethanako.scenesolution,q115_00b_v_getting_out,None,3
base\quest\testgym\meethanako.scenesolution,q115_00b_v_getting_from_the_bar_animation,None,3
base\quest\testgym\meethanako.scenesolution,q115_00b_inside_fluff,None,6
base\quest\testgym\meethanako.scenesolution,q115_00b_v_doesnt_get_it,None,3
base\quest\testgym\meethanako.scenesolution,q115_00b_power_conclusion,None,3
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_animations,None,6
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_furious_johnny,None,3
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_nervous_johnny,None,3
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_v_is_fine,None,3
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_v_is_not_good,None,3
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_mikoshi,None,6
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_my_brother,None,3
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_nervous,None,6
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_business_of_arasakas,None,3
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_rather_not_offert,None,3
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_good_offert,None,3
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_conclusion,None,9
