场景路径,段落名称,动画名称,使用次数
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_movement,stand__2h_front__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_movement,stand__2h_front__01__two_step_left__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_moving_back,stand__2h_back__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_moving_back,stand__2h_front__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_moving_back,stand__2h_back__01__to__stand__2h_back__01__turn45__01,2
base\quest\testgym\meethanako.scenesolution,q115_00b_35_reset_placement_of_street_bodyguards,stand__2h_back__01__delamain__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_35_reset_placement_of_street_bodyguards,stand__2h_back__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_11,stand__2h_back__01__to__stand__2h_back__01__turn315__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_11,fpp_idle_stand,1
base\quest\testgym\meethanako.scenesolution,q115_00b_guards_scenespots,stand__2h_back__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_guards_scenespots,stand__2h_back__01__to__step_front__01__turn0__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_23,walk_0__to__stand__2h_front__01__turn270__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_23,fpp_idle_stand,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_pose,hanako__sit_chair_lean0__play_piano__01__to__hanako__stand__2h_front__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_pose,fpp_idle_stand,1
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_idle_sitting_in_the_back,johnny__sit_chair_lean180__arms_legs_crossed__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_idle_sitting_in_the_back,sit_chair_lean0__2h_elbow_on_knees__01__to__johnny__sit_chair_lean180__arms_legs_crossed__01__turn0__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama_faster,hanako__stand__2h_front__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama_faster,fpp_idle_stand,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama,hanako__stand__2h_front__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,fpp_idle_stand,2
base\quest\testgym\meethanako.scenesolution,q115_00b_family_answer,fpp_idle_stand,1
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed,johnny__stand__lh_pocket__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_relax_johnny,johnny__stand__lh_pocket__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed_02,fpp_idle_stand,1
