场景路径,段落名称,动画名称,使用次数
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_nod,stand__2h_front__01__nod__respectful__02,1
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_to_hanako,yes__approval__male__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_08,stand__2h_front__01__stop__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_11,stand__2h_back__01__describe_left__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_greet,idle_gesture_cm__smile_short__female__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_player_bowing,stand__2h_on_sides__01__bow__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_reaction,emotional_gesture__annoyed__male__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_reaction,johnny__sit_chair_lean180__arms_legs_crossed__01__facepalm__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama_faster,hanako__stand__2h_front__01__sigh__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama,hanako__stand__2h_front__01__sigh__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,hanako__stand__2h_front__01__sing__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,johnny__sit_chair_lean180__arms_legs_crossed__01__deep_breath__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,glance__looking_down_thinking__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_family_answer,yes__sad__female__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_family_answer,johnny__sit_chair_lean180__arms_legs_crossed__01__laugh__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_family_answer,glance__looking_down_thinking__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed_02,johnny__stand__lh_pocket__01__look_left__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_time,glance__looking_down_thinking__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_conclusion,glance__looking_down__female__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_conclusion,no__firm__female__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_conclusion,hanako__stand__2h_front__01__rub_hands__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_conclusion,hanako__stand__2h_front__01__talk__03,1
base\quest\testgym\meethanako.scenesolution,q115_00b_family_answer_01,yes__sad__female__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_family_answer_01,johnny__sit_chair_lean180__arms_legs_crossed__01__laugh__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_family_answer_01,glance__looking_down_thinking__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_beginning,johnny__sit_chair_lean180__arms_legs_crossed__01__deep_breath__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_beginning,hanako__stand__2h_front__01__sing__03,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_beginning,no__firm__female__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_ym mo,glance__looking_down_thinking__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_common_section,glance__looking_down__female__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_common_section,hanako__stand__2h_front__01__sigh__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_common_section,yes__firm__female__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_common_section,hanako__stand__2h_front__01__shuffle__02,1
base\quest\testgym\meethanako.scenesolution,q115_00b_common_section,hanako__stand__2h_front__01__sing__04,1
base\quest\testgym\meethanako.scenesolution,q115_00b_common_section,glance__looking_left__female__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_cut_to_the_chase,emotional_gesture__disappointed__female__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_soulkiller_do_you_have,hanako__stand__2h_front__01__talk__02,1
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_comment_02,johnny__sit_chair_lean180__arms_legs_crossed__01__lean_forward__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_let_me_hear,other_gesture__asymmetrical_smile__male__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_let_me_hear,johnny__stand_bar_lean0__2h_on_bar__01__shuffle__03,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_nervous,hanako__stand__2h_front__01__sigh__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_nervous,glance__look_around__01,2
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_nervous,hanako__stand__2h_front__01__talk__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_nervous,glance__looking_down__female__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_what_do_u_mean,idle_gesture_cm__smile_short__female__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_what_do_u_mean,hanako__stand__2h_front__01__rh_flick__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_what_do_u_mean,glance__looking_down__female__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_what_do_u_mean,hanako__stand__2h_front__01__talk__03,1
base\quest\testgym\meethanako.scenesolution,q115_00b_angry_mean,idle_gesture_cm__smile_short__female__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_angry_mean,hanako__stand__2h_front__01__sigh__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_angry_mean,glance__looking_down__female__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_angry_mean,hanako__stand__2h_front__01__talk__03,1
base\quest\testgym\meethanako.scenesolution,q115_00b_mikoshi,hanako__stand__2h_front__01__take_you__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_mikoshi,yes__sad__female__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_mikoshi,other_gesture__smile__female__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_mikoshi,additive__closed_eyes__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_comment_03,johnny__stand_bar_lean0__2h_on_bar__01__talk__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_disturbing_conlusion,emotional_gesture__annoyed__male__02,1
base\quest\testgym\meethanako.scenesolution,q115_00b_stopping_scenespots,other_gesture__false_smile__female__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_drinking,hanako__sit_barstool_bar_lean90__rh_on_bar_legs_crossed__01__sip_drink__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_drinking,additive__closed_eyes__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_comment_04,emotional_gesture__contempt__male__01,1
base\quest\testgym\meethanako.scenesolution,facial_animation_01,glance__look_around__01,1
base\quest\testgym\meethanako.scenesolution,facial_animation_02,glance__looking_down_thinking__01,1
base\quest\testgym\meethanako.scenesolution,facial_animation_03,glance__right_45_procesing_info__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_kill_brother,glance__looking_down__female__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_business_of_arasakas,yes__firm__female__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_business_of_arasakas,glance__looking_down__female__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_what_hanako,yes__firm__female__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_what_hanako,glance__looking_down_thinking__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_what_hanako,hanako__sit_barstool_bar_lean90__rh_on_bar_legs_crossed__01__talk__08,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_conclusion,glance__looking_down__female__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_conclusion,johnny__stand__lh_cigarette__aggressive__01__puff__06,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_conclusion,stand__2h_back__01__shuffle__04,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_conclusion,johnny__stand_bar_lean0__2h_on_bar__01__shuffle__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_conclusion,johnny__stand_bar_lean0__2h_on_bar__01__shuffle__03,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_conclusion,hanako__sit_barstool_bar_lean90__rh_on_bar_legs_crossed__01__gesture__02,1
base\quest\testgym\meethanako.scenesolution,q115_00b_good_offert,yes__subtle__female__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_good_offert,hanako__sit_barstool_bar_lean90__rh_on_bar_legs_crossed__01__nervous_tap__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_good_offert,glance__left_45_procesing_info__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_good_offert,johnny__stand_bar_lean0__2h_on_bar__01__listening__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_rather_not_offert,phrasal_gesture__what_do_you_want__female__02,1
base\quest\testgym\meethanako.scenesolution,q115_00b_rather_not_offert,johnny__stand_bar_lean0__2h_on_bar__01__talk__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_rather_not_offert,johnny__stand_bar_lean0__2h_on_bar__01__shuffle__05,1
base\quest\testgym\meethanako.scenesolution,q115_00b_nervous_johnny,hanako__sit_barstool_bar_lean90__rh_on_bar_legs_crossed__01__point_nose__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_nervous_johnny,phrasal_gesture__what__female__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_furious_johnny,hanako__sit_barstool_bar_lean90__rh_on_bar_legs_crossed__01__stop__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_furious_johnny,hanako__sit_barstool_bar_lean90__rh_on_bar_legs_crossed__01__flick__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_v_is_fine,hanako__sit_barstool_bar_lean90__rh_on_bar_legs_crossed__01__point_nose__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_v_is_not_good,hanako__sit_barstool_bar_lean90__rh_on_bar_legs_crossed__01__point_nose__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_angry_johnny,hanako__sit_barstool_bar_lean90__rh_on_bar_legs_crossed__01__point_nose__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_angry_johnny,phrasal_gesture__what__female__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_power_fluff,glance__looking_down__female__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_power_fluff,no__firm__female__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_power_fluff,q115_hanako__sit_barstool_bar_lean90__rh_on_bar_legs_crossed__01__sip_drink__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_power_fluff,hanako__sit_barstool_bar_lean90__rh_on_bar_legs_crossed__01__nervous_tap__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_power_fluff,glance__looking_down__male__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_power_fluff,glance__left_45_procesing_info__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_v_getting_out,hanako__sit_barstool_bar_lean90__rh_on_bar_legs_crossed__01__talk__07,1
base\quest\testgym\meethanako.scenesolution,q115_00b_v_getting_from_the_bar_animation,sit_barstool_bar_lean270__lh_on_bar__wipe_nose__01__to__sit_barstool_bar_lean270__lh_on_bar__01__turn0__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_inside_fluff,yes__firm__female__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_inside_fluff,hanako__sit_barstool_bar_lean90__rh_on_bar_legs_crossed__01__talk__07,1
base\quest\testgym\meethanako.scenesolution,q115_00b_v_doesnt_get_it,hanako__sit_barstool_bar_lean90__rh_on_bar_legs_crossed__01__talk__07,1
base\quest\testgym\meethanako.scenesolution,q115_00b_blue_about_hanako,phrasal_gesture__maybe__female__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_blue_about_hanako,hanako__sit_barstool_bar_lean90__rh_on_bar_legs_crossed__01__sip_drink__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_blue_about_hanako,additive__closed_eyes__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_blue_about_hanako,glance__looking_down__male__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_getting_up,hanako__sit_barstool_bar_lean90__rh_on_bar_legs_crossed__01__to__walk_0__turn180__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_stop_anim,stand__2h_front__01__stop__neutral__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_player_cough,idle_stand__01__cough__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_,stand__2h_front__01__describe_front__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_12,glance__looking_left__female__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_waitress_bow,stand_bow0__2h_front__01__bow__01,2
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_beginning,johnny__sit_chair_lean180__arms_legs_crossed__01__deep_breath__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_beginning,hanako__stand__2h_front__01__sing__03,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_beginning,no__firm__female__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_furious_johnny,hanako__sit_barstool_bar_lean90__rh_on_bar_legs_crossed__01__stop__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_furious_johnny,hanako__sit_barstool_bar_lean90__rh_on_bar_legs_crossed__01__flick__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_angry_johnny,hanako__sit_barstool_bar_lean90__rh_on_bar_legs_crossed__01__point_nose__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_angry_johnny,phrasal_gesture__what__female__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_nervous_johnny,hanako__sit_barstool_bar_lean90__rh_on_bar_legs_crossed__01__point_nose__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_nervous_johnny,phrasal_gesture__what__female__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_v_is_fine,hanako__sit_barstool_bar_lean90__rh_on_bar_legs_crossed__01__point_nose__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_v_is_not_good,hanako__sit_barstool_bar_lean90__rh_on_bar_legs_crossed__01__point_nose__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_mikoshi,hanako__stand__2h_front__01__take_you__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_mikoshi,yes__sad__female__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_mikoshi,other_gesture__smile__female__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_mikoshi,additive__closed_eyes__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_greet,idle_gesture_cm__smile_short__female__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_nervous,hanako__stand__2h_front__01__sigh__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_nervous,glance__look_around__01,2
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_nervous,hanako__stand__2h_front__01__talk__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_nervous,glance__looking_down__female__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_what_hanako,yes__firm__female__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_what_hanako,glance__looking_down_thinking__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_what_hanako,hanako__sit_barstool_bar_lean90__rh_on_bar_legs_crossed__01__talk__08,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_business_of_arasakas,yes__firm__female__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_business_of_arasakas,glance__looking_down__female__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_rather_not_offert,phrasal_gesture__what_do_you_want__female__02,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_rather_not_offert,johnny__stand_bar_lean0__2h_on_bar__01__shuffle__03,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_rather_not_offert,johnny__stand_bar_lean0__2h_on_bar__01__talk__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_rather_not_offert,johnny__stand_bar_lean0__2h_on_bar__01__shuffle__05,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_kill_brother,glance__looking_down__female__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_good_offert,hanako__sit_barstool_bar_lean90__rh_on_bar_legs_crossed__01__nervous_tap__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_good_offert,yes__subtle__female__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_good_offert,glance__left_45_procesing_info__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_good_offert,johnny__stand_bar_lean0__2h_on_bar__01__listening__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_conclusion,hanako__sit_barstool_bar_lean90__rh_on_bar_legs_crossed__01__talk__07,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_conclusion,hanako__sit_barstool_bar_lean90__rh_on_bar_legs_crossed__01__gesture__02,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_conclusion,glance__looking_down__female__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_conclusion,hanako__sit_barstool_bar_lean90__rh_on_bar_legs_crossed__01__nervous_tap__01,2
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_conclusion,johnny__stand_bar_lean0__2h_on_bar__01__shuffle__03,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_conclusion,hanako__sit_barstool_bar_lean90__rh_on_bar_legs_crossed__01__talk__08,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_conclusion,stand__2h_back__01__shuffle__04,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_conclusion,johnny__stand__lh_cigarette__aggressive__01__puff__06,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_conclusion,johnny__stand_bar_lean0__2h_on_bar__01__shuffle__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_conclusion,yes__firm__female__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_conclusion,hanako__sit_barstool_bar_lean90__rh_on_bar_legs_crossed__01__talk__09,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_inside_fluff,yes__firm__female__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_inside_fluff,hanako__sit_barstool_bar_lean90__rh_on_bar_legs_crossed__01__talk__07,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_power_fluff,glance__left_45_procesing_info__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_power_fluff,additive__closed_eyes__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_power_fluff,glance__looking_down__male__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_power_fluff,glance__looking_down__female__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_power_fluff,no__firm__female__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_power_fluff,q115_hanako__sit_barstool_bar_lean90__rh_on_bar_legs_crossed__01__sip_drink__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_power_fluff,hanako__sit_barstool_bar_lean90__rh_on_bar_legs_crossed__01__nervous_tap__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_v_getting_out,hanako__sit_barstool_bar_lean90__rh_on_bar_legs_crossed__01__talk__07,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_let_me_hear,other_gesture__asymmetrical_smile__male__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_let_me_hear,johnny__stand_bar_lean0__2h_on_bar__01__shuffle__03,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_v_doesnt_get_it,hanako__sit_barstool_bar_lean90__rh_on_bar_legs_crossed__01__talk__07,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_blue_about_hanako,emotional_gesture__annoyed__male__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_blue_about_hanako,phrasal_gesture__maybe__female__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_blue_about_hanako,stand_bar_lean0__2h_on_bar__01__yawn__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_blue_about_hanako,glance__looking_down__male__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_blue_about_hanako,additive__closed_eyes__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_blue_about_hanako,hanako__sit_barstool_bar_lean90__rh_on_bar_legs_crossed__01__sip_drink__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_what_do_u_mean,idle_gesture_cm__smile_short__female__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_what_do_u_mean,hanako__stand__2h_front__01__rh_flick__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_what_do_u_mean,glance__looking_down__female__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_what_do_u_mean,hanako__stand__2h_front__01__talk__03,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_angry_mean,idle_gesture_cm__smile_short__female__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_angry_mean,hanako__stand__2h_front__01__sigh__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_angry_mean,glance__looking_down__female__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_angry_mean,hanako__stand__2h_front__01__talk__03,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_disturbing_conlusion,emotional_gesture__annoyed__male__02,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_waitress,stand_bow0__2h_front__01__bow__01,2
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_comment_02,johnny__sit_chair_lean180__arms_legs_crossed__01__lean_forward__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_comment_03,johnny__stand_bar_lean0__2h_on_bar__01__talk__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_comment_04,emotional_gesture__contempt__male__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_sama,hanako__stand__2h_front__01__sigh__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_reaction,emotional_gesture__annoyed__male__01,1
