场景路径,动画名称,使用次数
base\quest\testgym\meethanako.scenesolution,stand__2h_front__01__conversation_step__01,1
base\quest\testgym\meethanako.scenesolution,stand__2h_front__01__stop__neutral__01,1
base\quest\testgym\meethanako.scenesolution,None,127
base\quest\testgym\meethanako.scenesolution,stand__2h_front__01__describe_front__01,1
base\quest\testgym\meethanako.scenesolution,glance__looking_down_thinking__01,7
base\quest\testgym\meethanako.scenesolution,glance__looking_left__female__01,2
base\quest\testgym\meethanako.scenesolution,hanako__sit_barstool_bar_lean90__rh_on_bar_legs_crossed__01__nervous_tap__01,2
base\quest\testgym\meethanako.scenesolution,johnny__stand__lh_pocket__01__look_left__01,1
base\quest\testgym\meethanako.scenesolution,hanako__sit_chair_lean0__play_piano__01,1
base\quest\testgym\meethanako.scenesolution,other_gesture__asymmetrical_smile__male__01,1
base\quest\testgym\meethanako.scenesolution,stand__2h_front__01__to__walk0__turn225__01,1
base\quest\testgym\meethanako.scenesolution,hanako__stand__2h_front__01__sing__04,1
base\quest\testgym\meethanako.scenesolution,sit_barstool_bar_lean270__lh_on_bar__wipe_nose__01,4
base\quest\testgym\meethanako.scenesolution,no__firm__female__01,3
base\quest\testgym\meethanako.scenesolution,johnny__stand_bar_lean0__2h_on_bar__01__talk__01,2
base\quest\testgym\meethanako.scenesolution,hanako__sit_barstool_bar_lean90__rh_on_bar_legs_crossed__01__flick__01,1
base\quest\testgym\meethanako.scenesolution,stand__2h_on_sides__01__to__sit_barstool_bar_lean270__lh_on_bar__02__turn45__01,1
base\quest\testgym\meethanako.scenesolution,additive__closed_eyes__01,3
base\quest\testgym\meethanako.scenesolution,walk_0__to__stand__2h_front__01__turn270__01,1
base\quest\testgym\meethanako.scenesolution,stand__2h_front__01,5
base\quest\testgym\meethanako.scenesolution,johnny__stand__lh_cigarette__aggressive__01__conversation_step__01,1
base\quest\testgym\meethanako.scenesolution,stand__2h_back__01__to__stand__2h_back__01__turn45__01,2
base\quest\testgym\meethanako.scenesolution,sit_barstool_bar_lean270__lh_on_bar__02,2
base\quest\testgym\meethanako.scenesolution,other_gesture__smile__female__01,1
base\quest\testgym\meethanako.scenesolution,hanako__stand__2h_front__01__take_you__01,1
base\quest\testgym\meethanako.scenesolution,hanako__sit_barstool_bar_lean90__rh_on_bar_legs_crossed__01__stop__01,1
base\quest\testgym\meethanako.scenesolution,stand__2h_back__01__to__stand__2h_back__01__turn315__01,1
base\quest\testgym\meethanako.scenesolution,q115__hanako_goes_to_bar__02,2
base\quest\testgym\meethanako.scenesolution,add__stand_table_lean0__2h_on_table__01,1
base\quest\testgym\meethanako.scenesolution,johnny__stand__lh_cigarette__aggressive__01,5
base\quest\testgym\meethanako.scenesolution,stand__2h_front__01__to__walk_0__01,2
base\quest\testgym\meethanako.scenesolution,hanako__stand__2h_front__01__rub_hands__01,1
base\quest\testgym\meethanako.scenesolution,phrasal_gesture__what__female__01,2
base\quest\testgym\meethanako.scenesolution,q110__walk_0__to__johnny__stand__lh_pocket__01__turn0__01,1
base\quest\testgym\meethanako.scenesolution,emotional_gesture__contempt__male__01,1
base\quest\testgym\meethanako.scenesolution,johnny__sit_chair_lean180__arms_legs_crossed__01__laugh__01,2
base\quest\testgym\meethanako.scenesolution,stand__2h_front__01__to__stand__2h_back__01__turn0__01,2
base\quest\testgym\meethanako.scenesolution,stand__2h_on_sides__01__to__stand__2h_front__01__turn0__01,2
base\quest\testgym\meethanako.scenesolution,q115_hanako__sit_barstool_bar_lean90__rh_on_bar_legs_crossed__01__sip_drink__01,1
base\quest\testgym\meethanako.scenesolution,glance__left_45_procesing_info__01,2
base\quest\testgym\meethanako.scenesolution,sit_barstool_bar_lean270__lh_on_bar__01__to__sit_barstool_bar_lean270__lh_on_bar__wipe_nose__01__turn0__01,5
base\quest\testgym\meethanako.scenesolution,q115__hanako_goes_to_bar__03,1
base\quest\testgym\meethanako.scenesolution,stand__2h_front__01__to__walk_0__turn180l__01,1
base\quest\testgym\meethanako.scenesolution,johnny__stand_bar_lean0__2h_on_bar__01__listening__01,1
base\quest\testgym\meethanako.scenesolution,johnny__sit_chair_lean180__arms_legs_crossed__01__lean_forward__01,1
base\quest\testgym\meethanako.scenesolution,stand__2h_back__01__to__step_front__01__turn0__01,1
base\quest\testgym\meethanako.scenesolution,stand__2h_front__01__two_step_left__01,1
base\quest\testgym\meethanako.scenesolution,phrasal_gesture__what_do_you_want__female__02,1
base\quest\testgym\meethanako.scenesolution,sit_chair_lean0__2h_elbow_on_knees__01,1
base\quest\testgym\meethanako.scenesolution,walk_0__to__stand__arms_crossed_front__01__turn270__01,1
base\quest\testgym\meethanako.scenesolution,stand__rh_gun_ready__01__to__stand__2h_front__01,2
base\quest\testgym\meethanako.scenesolution,johnny__sit_chair_lean180__arms_legs_crossed__01,1
base\quest\testgym\meethanako.scenesolution,emotional_gesture__annoyed__male__01,1
base\quest\testgym\meethanako.scenesolution,fpp_idle_stand,55
base\quest\testgym\meethanako.scenesolution,stand__2h_back__01,4
base\quest\testgym\meethanako.scenesolution,yes__firm__female__01,4
base\quest\testgym\meethanako.scenesolution,glance__look_around__01,3
base\quest\testgym\meethanako.scenesolution,yes__subtle__female__01,1
base\quest\testgym\meethanako.scenesolution,hanako__sit_barstool_bar_lean90__rh_on_bar_legs_crossed__01,8
base\quest\testgym\meethanako.scenesolution,stand_table_lean0__2h_on_table__01,1
base\quest\testgym\meethanako.scenesolution,sit_barstool_bar_lean270__lh_on_bar__01,1
base\quest\testgym\meethanako.scenesolution,johnny__stand_bar_lean0__2h_on_bar__01,6
base\quest\testgym\meethanako.scenesolution,johnny__stand__lh_pocket__01,2
base\quest\testgym\meethanako.scenesolution,hanako__sit_barstool_bar_lean90__rh_on_bar_legs_crossed__01__talk__07,3
base\quest\testgym\meethanako.scenesolution,emotional_gesture__annoyed__male__02,1
base\quest\testgym\meethanako.scenesolution,q115__hanako_goes_to_bar__01,2
base\quest\testgym\meethanako.scenesolution,stand__2h_back__01__describe_left__01,1
base\quest\testgym\meethanako.scenesolution,hanako__stand__2h_front__01__to__kneel_lean0__lh_on_head__01__turn0__01,1
base\quest\testgym\meethanako.scenesolution,johnny__stand_bar_lean0__2h_on_bar__01__shuffle__05,1
base\quest\testgym\meethanako.scenesolution,phrasal_gesture__maybe__female__01,1
base\quest\testgym\meethanako.scenesolution,glance__looking_down__female__01,9
base\quest\testgym\meethanako.scenesolution,sit_chair_lean0__2h_elbow_on_knees__01__to__johnny__sit_chair_lean180__arms_legs_crossed__01__turn0__01,1
base\quest\testgym\meethanako.scenesolution,walk_0__to__stand__2h_front__01__turn0__01,1
base\quest\testgym\meethanako.scenesolution,stand__2h_front__01__nod__respectful__02,1
base\quest\testgym\meethanako.scenesolution,stand__2h_back__01__delamain__01,1
base\quest\testgym\meethanako.scenesolution,bouncer__walk_0__to__stand__2h_back__01__turn90__01,1
base\quest\testgym\meethanako.scenesolution,other_gesture__false_smile__female__01,1
base\quest\testgym\meethanako.scenesolution,stand_bar_lean0__2h_on_bar__01,1
base\quest\testgym\meethanako.scenesolution,sit_barstool_bar_lean270__lh_on_bar__wipe_nose__01__to__sit_barstool_bar_lean270__lh_on_bar__01__turn0__01,1
base\quest\testgym\meethanako.scenesolution,johnny__stand_bar_lean0__2h_on_bar__01__to__walk_0__turn45__01,1
base\quest\testgym\meethanako.scenesolution,hanako__sit_chair_lean0__play_piano__01__to__hanako__stand__2h_front__01,1
base\quest\testgym\meethanako.scenesolution,emotional_gesture__disappointed__female__01,1
base\quest\testgym\meethanako.scenesolution,hanako__sit_barstool_bar_lean90__rh_on_bar_legs_crossed__01__gesture__02,1
base\quest\testgym\meethanako.scenesolution,hanako__stand__2h_front__01__talk__02,1
base\quest\testgym\meethanako.scenesolution,idle_stand__01__cough__01,1
base\quest\testgym\meethanako.scenesolution,sit_barstool_bar_lean90__rh_on_bar_legs_crossed__01,1
base\quest\testgym\meethanako.scenesolution,yes__approval__male__01,1
base\quest\testgym\meethanako.scenesolution,stand__2h_back__01__shuffle__04,1
base\quest\testgym\meethanako.scenesolution,sit_barstool_bar_lean270__lh_on_bar__01__spill_drink__02,1
base\quest\testgym\meethanako.scenesolution,hanako__stand__2h_front__01__sing__01,1
base\quest\testgym\meethanako.scenesolution,johnny__sit_chair_lean180__arms_legs_crossed__01__facepalm__01,1
base\quest\testgym\meethanako.scenesolution,sit_barstool_bar_lean270__lh_on_bar__02__to__stand__2h_on_sides__01__turn90__01,1
base\quest\testgym\meethanako.scenesolution,johnny__stand__lh_cigarette__aggressive__01__puff__06,1
base\quest\testgym\meethanako.scenesolution,hanako__stand__2h_front__01__talk__03,3
base\quest\testgym\meethanako.scenesolution,walk_0__to__hanako__stand__2h_front__01__turn0__01,1
base\quest\testgym\meethanako.scenesolution,hanako__sit_barstool_bar_lean90__rh_on_bar_legs_crossed__01__talk__08,1
base\quest\testgym\meethanako.scenesolution,glance__right_45_procesing_info__01,1
base\quest\testgym\meethanako.scenesolution,walk_0__to__stand__2h_back__01__turn90__01,1
base\quest\testgym\meethanako.scenesolution,hanako__stand__2h_front__01__shuffle__02,1
base\quest\testgym\meethanako.scenesolution,johnny__sit_chair_lean180__arms_legs_crossed__01__deep_breath__01,2
base\quest\testgym\meethanako.scenesolution,stand__2h_back__01__to__walk_0__turn0__01,2
base\quest\testgym\meethanako.scenesolution,stand__2h_back__01__to__walk_0__turn270__01,2
base\quest\testgym\meethanako.scenesolution,idle_gesture_cm__smile_short__female__01,3
base\quest\testgym\meethanako.scenesolution,stand__2h_front__01__stop__01,1
base\quest\testgym\meethanako.scenesolution,glance__looking_down__male__01,2
base\quest\testgym\meethanako.scenesolution,stand__2h_back__01__to__stand__2h__front__01__turn0__01,2
base\quest\testgym\meethanako.scenesolution,walk_0__to__stand__2h_front__01__turn90__01,1
base\quest\testgym\meethanako.scenesolution,hanako__stand__2h_front__01,5
base\quest\testgym\meethanako.scenesolution,stand__2h_front__01__to__stand__rh_gun_ready__01,2
base\quest\testgym\meethanako.scenesolution,johnny__stand_bar_lean0__2h_on_bar__01__shuffle__01,1
base\quest\testgym\meethanako.scenesolution,hanako__stand__2h_front__01__sing__03,1
base\quest\testgym\meethanako.scenesolution,stand__2h_front__01__to__stand__2h_front__01__turn270__01,2
base\quest\testgym\meethanako.scenesolution,q110__walk__to__johnny__stand__lh_cigarette__aggressive__01,1
base\quest\testgym\meethanako.scenesolution,hanako__stand__2h_front__01__talk__01,1
base\quest\testgym\meethanako.scenesolution,hanako__stand__2h_front__01__to__walk_0__turn180__01,1
base\quest\testgym\meethanako.scenesolution,hanako__sit_barstool_bar_lean90__rh_on_bar_legs_crossed__01__point_nose__01,4
base\quest\testgym\meethanako.scenesolution,hanako__sit_barstool_bar_lean90__rh_on_bar_legs_crossed__01__sip_drink__01,3
base\quest\testgym\meethanako.scenesolution,johnny__stand_bar_lean0__2h_on_bar__01__shuffle__02,4
base\quest\testgym\meethanako.scenesolution,stand__2h_on_sides__01__bow__01,1
base\quest\testgym\meethanako.scenesolution,walk_0__to__stand__2h_on_sides__01__turn180r__01,2
base\quest\testgym\meethanako.scenesolution,sit_barstool_bar_lean270__lh_on_bar__01__sip_drink__02,1
base\quest\testgym\meethanako.scenesolution,hanako__sit_barstool_bar_lean90__rh_on_bar_legs_crossed__01__to__walk_0__turn180__01,1
base\quest\testgym\meethanako.scenesolution,hanako__stand__2h_front__01__sigh__01,5
base\quest\testgym\meethanako.scenesolution,hanako__stand__2h_front__01__rh_flick__01,1
base\quest\testgym\meethanako.scenesolution,johnny__stand_bar_lean0__2h_on_bar__01__shuffle__03,2
base\quest\testgym\meethanako.scenesolution,yes__sad__female__01,3
base\quest\testgym\q115_00b_hanako.scenesolution,stand__2h_front__01__stop__neutral__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,stand__2h_front__01__conversation_step__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,None,136
base\quest\testgym\q115_00b_hanako.scenesolution,stand__2h_front__01__describe_front__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,glance__looking_left__female__01,2
base\quest\testgym\q115_00b_hanako.scenesolution,glance__looking_down_thinking__01,6
base\quest\testgym\q115_00b_hanako.scenesolution,hanako__sit_barstool_bar_lean90__rh_on_bar_legs_crossed__01__nervous_tap__01,4
base\quest\testgym\q115_00b_hanako.scenesolution,johnny__stand__lh_pocket__01__look_left__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,other_gesture__asymmetrical_smile__male__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,hanako__sit_chair_lean0__play_piano__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,no__long__female__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,stand__2h_front__01__to__walk0__turn225__01,1
