场景路径,动画名称,使用次数
base\quest\side_quests\sq004\scenes\sq004_01_call.scenesolution,None,15
base\quest\side_quests\sq004\scenes\sq004_05_infiltration.scenesolution,None,9
base\quest\side_quests\sq004\scenes\sq004_06_prison_escape.scenesolution,sq004__chase_panam_exit,1
base\quest\side_quests\sq004\scenes\sq004_06_prison_escape.scenesolution,sq004__chase_panam_entrance__idle__01,2
base\quest\side_quests\sq004\scenes\sq004_06_prison_escape.scenesolution,None,76
base\quest\side_quests\sq004\scenes\sq004_06_prison_escape.scenesolution,sq004__chase_panam_entrance,2
base\quest\side_quests\sq004\scenes\sq004_06_prison_escape.scenesolution,add__sq004__chase_panam_entrance__idle__01,2
base\quest\side_quests\sq004\scenes\sq004_06_prison_escape.scenesolution,add__synced__q103_14_maelstroms__get_into_car__ssg_01__car_idle,2
base\quest\side_quests\sq004\scenes\sq004_06_prison_escape.scenesolution,synced__get_in_van__01__car,1
base\quest\side_quests\sq004\scenes\sq004_06_prison_escape.scenesolution,stand__2h_on_sides__01__to__sit_villefort_columbus__lh_on_knee__01__turn0__01,2
base\quest\side_quests\sq004\scenes\sq004_06_prison_escape.scenesolution,synced__q103_14_maelstroms__get_into_car__ssg_01__car_idle,2
base\quest\side_quests\sq004\scenes\sq004_04_drive.scenesolution,None,132
base\quest\side_quests\sq004\scenes\sq004_07_chase.scenesolution,sq004__chase_trunk_open_idle,1
base\quest\side_quests\sq004\scenes\sq004_07_chase.scenesolution,None,186
base\quest\side_quests\sq004\scenes\sq004_07_chase.scenesolution,add__sq004__chase_trunk_open_idle,1
base\quest\side_quests\sq004\scenes\sq004_07_chase.scenesolution,sit_villefort_columbus__lh_on_knee__01__to__kneel_villefort_columbus__2h_rifle__01__turn90__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,None,473
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,add__q103_08_ghost_town_plan__drive_to_fuse_box__end_idle,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,sq004__idle__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,add__sq004__idle__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,q103_08_ghost_town_plan__drive_to_fuse_box__end_idle,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,None,249
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,walk_0__to__panam__sit_yaiba_kusanagi_lean180__2h_on_lap__01__turn180l__01,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,sq004__morning_after__idle__03,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,panam__sit_yaiba_kusanagi__2h_on_lap__01__to__panam__sit_yaiba_kusanagi__2h_on_wheel__01__turn0__01,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,sq004__morning_after__idle__01,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,panam__sit_yaiba_kusanagi_lean180__2h_on_lap__01__to__panam__sit_yaiba_kusanagi__2h_on_lap__01__turn90__01,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,add__sq004__morning_after__idle__03,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,add__sq004__morning_after__idle__01,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,sq004__morning_after__idle__02,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,add__sq004__morning_after__idle__02,1
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,synced__player_repair_fuse_box__01__fuse_box,1
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,sq004__chase_trunk_open_idle,3
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,None,657
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,sit_villefort_columbus__lh_on_knee__01__to__kneel_villefort_columbus__2h_rifle__01__turn90__01,1
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,sq004__chase_stop__02,1
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,add__synced__player_repair_fuse_box__01_idle,2
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,add__sq004__chase_trunk_open_idle,3
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,synced__habbob__01__int_food_001__bottle_whiskey,1
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,synced__habbob__01_idle_start,4
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,synced__player_repair_fuse_box__01_idle,4
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,add__synced__habbob__01_idle_start,3
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,sq004__chase_stop__01,1
