场景路径,动画名称,使用次数
base\quest\side_quests\sq004\scenes\sq004_05_infiltration.scenesolution,dirt__stand__r_shoulder_rifle__01,1
base\quest\side_quests\sq004\scenes\sq004_06_prison_escape.scenesolution,synced__get_in_van__01__player,1
base\quest\side_quests\sq004\scenes\sq004_06_prison_escape.scenesolution,sprint_0__to__kneel_villefort_columbus__rh_on_door__01__turn180__01,1
base\quest\side_quests\sq004\scenes\sq004_06_prison_escape.scenesolution,synced__get_in_van__01__saul,1
base\quest\side_quests\sq004\scenes\sq004_06_prison_escape.scenesolution,sit_villefort_columbus__lh_on_knee__01,5
base\quest\side_quests\sq004\scenes\sq004_06_prison_escape.scenesolution,fpp_idle_stand,7
base\quest\side_quests\sq004\scenes\sq004_06_prison_escape.scenesolution,panam__sit_villefort_columbus__2h_on_wheel__focus__01,4
base\quest\side_quests\sq004\scenes\sq004_06_prison_escape.scenesolution,sprint_0__to__sit_villefort_columbus__lh_on_knee__01__turn0__01,2
base\quest\side_quests\sq004\scenes\sq004_06_prison_escape.scenesolution,sit_chair_lean180__2h_on_lap__unconscious__02,3
base\quest\side_quests\sq004\scenes\sq004_06_prison_escape.scenesolution,kneel_villefort_columbus__rh_on_door__01__to__sit_villefort_columbus__lh_elbow_on_knee__01__turn0__01,1
base\quest\side_quests\sq004\scenes\sq004_06_prison_escape.scenesolution,stand__2h_on_sides__01__to__sit_villefort_columbus__lh_on_knee__01__turn0__01,2
base\quest\side_quests\sq004\scenes\sq004_04_drive.scenesolution,fpp_idle_stand,3
base\quest\side_quests\sq004\scenes\sq004_04_drive.scenesolution,walk_0__to__stand_wall_lean180__arms_crossed_front__01__turn180r__01,1
base\quest\side_quests\sq004\scenes\sq004_04_drive.scenesolution,sit_car_villefort_columbus__2h_on_lap__01,3
base\quest\side_quests\sq004\scenes\sq004_04_drive.scenesolution,panam__sit_car__2h_on_lap__01,2
base\quest\side_quests\sq004\scenes\sq004_04_drive.scenesolution,panam__sit_villefort_columbus__2h_scope__01__to__panam__sit_villefort_columbus__2h_on_lap__01__turn0__01,3
base\quest\side_quests\sq004\scenes\sq004_04_drive.scenesolution,panam__sit_villefort_columbus__2h_scope__01,2
base\quest\side_quests\sq004\scenes\sq004_04_drive.scenesolution,panam__sit_villefort_columbus__2h_on_lap__01__to__panam__sit_villefort_columbus__2h_scope__01__turn0__01,1
base\quest\side_quests\sq004\scenes\sq004_07_chase.scenesolution,sit_villefort_columbus__lh_on_knee__01,3
base\quest\side_quests\sq004\scenes\sq004_07_chase.scenesolution,sit_villefort_columbus__lh_on_knee__01__to__kneel_villefort_columbus__2h_rifle__01__turn90__01,1
