场景路径,节点类型,数量
base\quest\testgym\meethanako.scenesolution,scnbXorNodeDescriptor,6
base\quest\testgym\meethanako.scenesolution,scnbHubNodeDescriptor,21
base\quest\testgym\meethanako.scenesolution,scnbChoiceSectionNodeDescriptor,14
base\quest\testgym\meethanako.scenesolution,scnbRandomizerNodeDescriptor,6
base\quest\testgym\meethanako.scenesolution,scnbStartNodeDescriptor,10
base\quest\testgym\meethanako.scenesolution,scnbCutControlNodeDescriptor,8
base\quest\testgym\meethanako.scenesolution,toolsSectionNodeDescriptor,143
base\quest\testgym\meethanako.scenesolution,scnbEndNodeDescriptor,5
base\quest\testgym\meethanako.scenesolution,toolsQuestNodeDescriptor,239
base\quest\testgym\meethanako.scenesolution,scnbAndNodeDescriptor,14
base\quest\testgym\q115_00b_hanako.scenesolution,scnbXorNodeDescriptor,6
base\quest\testgym\q115_00b_hanako.scenesolution,scnbHubNodeDescriptor,19
base\quest\testgym\q115_00b_hanako.scenesolution,scnbChoiceSectionNodeDescriptor,16
base\quest\testgym\q115_00b_hanako.scenesolution,scnbRandomizerNodeDescriptor,6
base\quest\testgym\q115_00b_hanako.scenesolution,scnbStartNodeDescriptor,28
base\quest\testgym\q115_00b_hanako.scenesolution,scnbCutControlNodeDescriptor,11
base\quest\testgym\q115_00b_hanako.scenesolution,toolsSectionNodeDescriptor,154
base\quest\testgym\q115_00b_hanako.scenesolution,scnbEndNodeDescriptor,5
base\quest\testgym\q115_00b_hanako.scenesolution,toolsQuestNodeDescriptor,236
base\quest\testgym\q115_00b_hanako.scenesolution,scnbAndNodeDescriptor,20
