场景路径,动画名称,使用次数
base\quest\side_quests\sq004\scenes\sq004_01_call.scenesolution,other_gesture__grimace__female__01,1
base\quest\side_quests\sq004\scenes\sq004_01_call.scenesolution,idle_gesture_cm__crimping lips__female__01,1
base\quest\side_quests\sq004\scenes\sq004_01_call.scenesolution,glance__looking_down__male__01,1
base\quest\side_quests\sq004\scenes\sq004_01_call.scenesolution,yes__firm__female__01,1
base\quest\side_quests\sq004\scenes\sq004_01_call.scenesolution,emotional_gesture__resentful__female__01,1
base\quest\side_quests\sq004\scenes\sq004_01_call.scenesolution,emotional_gesture__disappointed__female__01,2
base\quest\side_quests\sq004\scenes\sq004_01_call.scenesolution,glance__looking_down__female__01,1
base\quest\side_quests\sq004\scenes\sq004_01_call.scenesolution,glance__right_90_tilt_close__female__01,1
base\quest\side_quests\sq004\scenes\sq004_01_call.scenesolution,emotional_gesture__embarrassed__female__01,1
base\quest\side_quests\sq004\scenes\sq004_01_call.scenesolution,glance__right_90_rot_close__female__01,3
base\quest\side_quests\sq004\scenes\sq004_01_call.scenesolution,no__long__female__01,2
base\quest\side_quests\sq004\scenes\sq004_01_call.scenesolution,yes__firm__male__01,2
base\quest\side_quests\sq004\scenes\sq004_01_call.scenesolution,yes__subtle__female__01,1
base\quest\side_quests\sq004\scenes\sq004_01_call.scenesolution,yes__mocking__male__01,1
base\quest\side_quests\sq004\scenes\sq004_01_call.scenesolution,yes__enthusiastic__female__01,1
base\quest\side_quests\sq004\scenes\sq004_01_call.scenesolution,glance__left_90_rot_close__female__01,1
base\quest\side_quests\sq004\scenes\sq004_05_infiltration.scenesolution,glance__left_90_rot_close__female__01,4
base\quest\side_quests\sq004\scenes\sq004_05_infiltration.scenesolution,no__long__female__01,2
base\quest\side_quests\sq004\scenes\sq004_05_infiltration.scenesolution,emotional_gesture__confident__male__01,1
base\quest\side_quests\sq004\scenes\sq004_05_infiltration.scenesolution,yes__approval__female__01,5
base\quest\side_quests\sq004\scenes\sq004_05_infiltration.scenesolution,phrasal_gesture__what__male__01,1
base\quest\side_quests\sq004\scenes\sq004_05_infiltration.scenesolution,dirt__stand__r_shoulder_rifle__01__talk__02,1
base\quest\side_quests\sq004\scenes\sq004_05_infiltration.scenesolution,stand__2h_back__01__talk__confident__01,1
base\quest\side_quests\sq004\scenes\sq004_05_infiltration.scenesolution,glance__right_90_tilt_close__female__01,1
base\quest\side_quests\sq004\scenes\sq004_05_infiltration.scenesolution,stand_rail_lean0__rh_cigarette__01__shuffle__01,1
base\quest\side_quests\sq004\scenes\sq004_05_infiltration.scenesolution,dirt__stand__r_shoulder_rifle__01__talk__01,1
base\quest\side_quests\sq004\scenes\sq004_06_prison_escape.scenesolution,glance__look_around__02,1
base\quest\side_quests\sq004\scenes\sq004_06_prison_escape.scenesolution,emotional_gesture__irritated__male__01,2
base\quest\side_quests\sq004\scenes\sq004_06_prison_escape.scenesolution,sit_chair_lean180__2h_on_lap__unconscious__02__touch_head__01,1
base\quest\side_quests\sq004\scenes\sq004_06_prison_escape.scenesolution,synced__injecting_stimpack__01__player,1
base\quest\side_quests\sq004\scenes\sq004_06_prison_escape.scenesolution,sit_chair_lean180__2h_on_lap__unconscious__02__talk__05,2
base\quest\side_quests\sq004\scenes\sq004_06_prison_escape.scenesolution,sit_chair_lean180__2h_on_lap__unconscious__02__cough__01,1
base\quest\side_quests\sq004\scenes\sq004_06_prison_escape.scenesolution,additive__closed_eyes__01,1
base\quest\side_quests\sq004\scenes\sq004_06_prison_escape.scenesolution,sit_villefort_columbus__lh_on_knee__01__look_around__01,1
base\quest\side_quests\sq004\scenes\sq004_06_prison_escape.scenesolution,emotional_gesture__disgusted__female__01,1
base\quest\side_quests\sq004\scenes\sq004_06_prison_escape.scenesolution,synced__injecting_stimpack__01__saul,1
base\quest\side_quests\sq004\scenes\sq004_06_prison_escape.scenesolution,sit_chair_lean180__2h_on_lap__unconscious__02__talk__01,1
base\quest\side_quests\sq004\scenes\sq004_06_prison_escape.scenesolution,sit_chair_lean180__2h_on_lap__unconscious__02__shuffle__01,1
base\quest\side_quests\sq004\scenes\sq004_06_prison_escape.scenesolution,sit_chair_lean180__2h_on_lap__unconscious__02__talk__03,1
base\quest\side_quests\sq004\scenes\sq004_06_prison_escape.scenesolution,emotional_gesture__aggressive__female__02,1
base\quest\side_quests\sq004\scenes\sq004_06_prison_escape.scenesolution,panam__sit_villefort_columbus__2h_on_wheel__focus__01__talk__01,2
base\quest\side_quests\sq004\scenes\sq004_06_prison_escape.scenesolution,sit_chair_lean180__2h_on_lap__unconscious__02__talk__04,1
base\quest\side_quests\sq004\scenes\sq004_06_prison_escape.scenesolution,emotional_gesture__restraing_anger__female__01,1
base\quest\side_quests\sq004\scenes\sq004_06_prison_escape.scenesolution,sit_chair_lean180__2h_on_lap__unconscious__02__cough__02,1
base\quest\side_quests\sq004\scenes\sq004_06_prison_escape.scenesolution,glance__looking_down_thinking__01,1
base\quest\side_quests\sq004\scenes\sq004_06_prison_escape.scenesolution,sit_chair_lean180__2h_on_lap__unconscious__02__look_around__01,1
base\quest\side_quests\sq004\scenes\sq004_06_prison_escape.scenesolution,sit_chair_lean180__2h_on_lap__unconscious__02__talk__02,2
base\quest\side_quests\sq004\scenes\sq004_06_prison_escape.scenesolution,synced__injecting_stimpack__01__syringe,1
base\quest\side_quests\sq004\scenes\sq004_06_prison_escape.scenesolution,sit_chair_lean180__2h_on_lap__unconscious__02__spit__01,1
base\quest\side_quests\sq004\scenes\sq004_04_drive.scenesolution,yes__approval__female__01,2
base\quest\side_quests\sq004\scenes\sq004_04_drive.scenesolution,door_front_left,1
base\quest\side_quests\sq004\scenes\sq004_04_drive.scenesolution,yes__firm__female__01,1
base\quest\side_quests\sq004\scenes\sq004_04_drive.scenesolution,panam__sit_car__2h_on_lap__01__talk__04,1
base\quest\side_quests\sq004\scenes\sq004_04_drive.scenesolution,phrasal_gesture__where__female__01,1
base\quest\side_quests\sq004\scenes\sq004_04_drive.scenesolution,phrasal_gesture__listen_to_me__female__01,1
base\quest\side_quests\sq004\scenes\sq004_04_drive.scenesolution,panam__sit_car__2h_on_lap__01__talk__neutral__04,1
base\quest\side_quests\sq004\scenes\sq004_04_drive.scenesolution,phrasal_gesture__what_do_you_want__male__01,1
base\quest\side_quests\sq004\scenes\sq004_04_drive.scenesolution,panam__sit_car__2h_on_lap__01__talk__dismissive__01,1
base\quest\side_quests\sq004\scenes\sq004_04_drive.scenesolution,stand_wall_lean180__arms_crossed_front__01__shrug__01,2
base\quest\side_quests\sq004\scenes\sq004_04_drive.scenesolution,stand_wall_lean180__arms_crossed_front__01__shuffle__01,1
base\quest\side_quests\sq004\scenes\sq004_04_drive.scenesolution,phrasal_gesture__what_do_you_want__female__01,1
base\quest\side_quests\sq004\scenes\sq004_04_drive.scenesolution,panam__sit_car__2h_on_lap__01__point_front__01,1
base\quest\side_quests\sq004\scenes\sq004_04_drive.scenesolution,stand_wall_lean180__arms_crossed_front__01__shuffle__02,1
base\quest\side_quests\sq004\scenes\sq004_04_drive.scenesolution,no__long__female__01,1
base\quest\side_quests\sq004\scenes\sq004_04_drive.scenesolution,glance__looking_down__male__01,1
base\quest\side_quests\sq004\scenes\sq004_04_drive.scenesolution,panam__sit_car__2h_on_lap__01__talk__dismissive__03,1
base\quest\side_quests\sq004\scenes\sq004_04_drive.scenesolution,stand_wall_lean180__arms_crossed_front__01__talk__03,1
base\quest\side_quests\sq004\scenes\sq004_04_drive.scenesolution,emotional_gesture__surprised__male__01,1
base\quest\side_quests\sq004\scenes\sq004_04_drive.scenesolution,glance__right_90_rot_close__female__01,1
base\quest\side_quests\sq004\scenes\sq004_04_drive.scenesolution,sit_chair__2h_on_lap__01__shrug__06,1
base\quest\side_quests\sq004\scenes\sq004_04_drive.scenesolution,panam__sit_car__2h_on_lap__01__talk__dismissive__05,1
