场景路径,动画名称,使用次数
base\quest\side_quests\sq004\scenes\sq004_06_prison_escape.scenesolution,fpp_idle_stand,1
base\quest\side_quests\sq004\scenes\sq004_06_prison_escape.scenesolution,synced__injecting_stimpack__01__saul,1
base\quest\side_quests\sq004\scenes\sq004_04_drive.scenesolution,panam__sit_villefort_columbus_passenger__to__panam__walk0__01,1
base\quest\side_quests\sq004\scenes\sq004_04_drive.scenesolution,stand_wall_lean180__arms_crossed_front__01__to__walk_0__turn90__01,1
base\quest\side_quests\sq004\scenes\sq004_04_drive.scenesolution,exit,3
base\quest\side_quests\sq004\scenes\sq004_04_drive.scenesolution,fpp_idle_stand,5
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand_wall_lean180__arms_crossed_front__01__to__walk_0__turn270__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,fpp_idle_stand,8
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand__arms_crossed_front__01__to__walk_0__turn315__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand_wall_lean270__rh_on_hip__01__to__walk_0__turn0__01,2
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand__rh_on_hip__01__to__walk0__turn0__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand__rh_on_hip__01__to__walk_0__turn270__02,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand__rh_on_hip__01__to__walk_0__turn180l__01,1
base\quest\side_quests\sq004\scenes\sq004_02_intro.scenesolution,stand_wall_lean180__arms_crossed_front__01__to__walk_0__turn90__01,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,sit_curb_lean0__2h_on_lap__01__to__panam__walk_0__turn0__01,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,sit_couch_lean90__rh_elbow_backrest__01__to__stand__2h_on_sides__01__turn0__01,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,synced__panam_on_bike_kisses_player__01,1
base\quest\side_quests\sq004\scenes\sq004_09_morning_after.scenesolution,fpp_idle_stand,3
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,sit_villefort_columbus__2h_elbow_on_knees__01__to__stand__2h_on_sides__01__turn270__01,1
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,sit_chair_lean0__2h_elbow_on_knees__01__to__walk_0__turn315__01,1
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,sit_villefort_columbus__lh_on_knee__01__to__stand__2h_on_sides__01__turn270__01,1
base\quest\side_quests\sq004\scenes\sq004_08_farm.scenesolution,fpp_idle_stand,3
