场景路径,段落名称,动画名称,使用次数
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_movement,stand__2h_front__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_movement,stand__2h_front__01__two_step_left__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_nod,stand__2h_front__01__nod__respectful__02,1
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_to_hanako,None,6
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_to_hanako,yes__approval__male__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_08,stand__2h_front__01__stop__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guards_lookats,None,6
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_moving_back,stand__2h_back__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_moving_back,stand__2h_front__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_moving_back,stand__2h_back__01__to__stand__2h_back__01__turn45__01,2
base\quest\testgym\meethanako.scenesolution,q115_00b_35_reset_placement_of_street_bodyguards,stand__2h_back__01__delamain__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_35_reset_placement_of_street_bodyguards,stand__2h_back__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_11,stand__2h_back__01__to__stand__2h_back__01__turn315__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_11,stand__2h_back__01__describe_left__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_11,fpp_idle_stand,1
base\quest\testgym\meethanako.scenesolution,q115_00b_guards_scenespots,stand__2h_back__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_guards_scenespots,stand__2h_back__01__to__step_front__01__turn0__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_41,stand__2h_back__01__to__walk_0__turn0__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_41,fpp_idle_stand,1
base\quest\testgym\meethanako.scenesolution,q115_00b_23,walk_0__to__stand__2h_front__01__turn270__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_23,fpp_idle_stand,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_pose,hanako__sit_chair_lean0__play_piano__01__to__hanako__stand__2h_front__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_pose,fpp_idle_stand,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_greet,idle_gesture_cm__smile_short__female__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_25,None,3
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_01_lookat,stand__2h_front__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_player_bowing,stand__2h_on_sides__01__bow__01,1
