场景路径,段落名称,轨道名称,轨道类型,剪辑序号,剪辑类型
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_movement,dialog lines,1,1,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_movement,lookAt,6,1,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_movement,logic,8,1,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_movement,logic,8,2,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_movement,idle,3,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_movement,lookAt,6,1,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_nod,dialog lines,1,1,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_nod,animation,4,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_to_hanako,dialog lines,1,1,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_to_hanako,dialog lines,1,2,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_to_hanako,animation,4,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_to_hanako,facial,5,1,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_to_hanako,lookAt,6,1,scnbeventsVFXEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_to_hanako,lookAt,6,2,scnbeventsVFXEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_to_hanako,lookAt,6,3,toolsChangeIdleAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_to_hanako,facial,5,1,toolsChangeIdleAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_to_hanako,logic,8,1,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_to_hanako,logic,8,2,scnbeventsSocketDescriptor
