场景路径,段落名称,轨道总数,类型1轨道数,类型2轨道数,类型3轨道数,类型4轨道数,类型5轨道数,类型6轨道数,类型7轨道数,类型8轨道数,Clip总数,动画种类数,动画使用总次数
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_movement,13,1,2,2,2,2,2,0,2,6,2,2
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_nod,7,1,1,1,1,1,1,0,1,2,1,1
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_to_hanako,13,1,2,2,2,2,2,0,2,10,2,7
base\quest\testgym\meethanako.scenesolution,q115_00b_08,19,1,3,3,3,3,3,0,3,5,1,1
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guards_lookats,13,1,2,2,2,2,2,0,2,4,1,6
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_moving_back,13,1,2,2,2,2,2,0,2,2,3,4
base\quest\testgym\meethanako.scenesolution,q115_00b_35_reset_placement_of_street_bodyguards,13,1,2,2,2,2,2,0,2,2,2,2
base\quest\testgym\meethanako.scenesolution,q115_00b_11,7,1,1,1,1,1,1,0,1,4,3,3
base\quest\testgym\meethanako.scenesolution,q115_00b_guards_scenespots,7,1,1,1,1,1,1,0,1,1,2,2
base\quest\testgym\meethanako.scenesolution,q115_00b_41,7,1,1,1,1,1,1,0,1,1,2,2
base\quest\testgym\meethanako.scenesolution,q115_00b_23,7,1,1,1,1,1,1,0,1,1,2,2
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_pose,7,1,1,1,1,1,1,0,1,3,2,2
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_greet,7,1,1,1,1,1,1,0,1,3,1,1
base\quest\testgym\meethanako.scenesolution,q115_00b_25,7,1,1,1,1,1,1,0,1,3,1,3
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_01_lookat,13,1,2,2,2,2,2,0,2,2,1,1
base\quest\testgym\meethanako.scenesolution,q115_00b_greeting,7,1,1,1,1,1,1,0,1,2,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_player_bowing,7,1,1,1,1,1,1,0,1,3,1,1
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_idle_sitting_in_the_back,7,1,1,1,1,1,1,0,1,1,2,2
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_reaction,7,1,1,1,1,1,1,0,1,5,2,2
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama_faster,19,1,3,3,3,3,3,0,3,7,3,3
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sama,13,1,2,2,2,2,2,0,2,6,2,2
base\quest\testgym\meethanako.scenesolution,q115_00b_NEW_about_yorinobu,13,1,2,2,2,2,2,0,2,15,5,11
base\quest\testgym\meethanako.scenesolution,q115_00b_family_answer,13,1,2,2,2,2,2,0,2,4,4,4
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed,7,1,1,1,1,1,1,0,1,4,2,4
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed_lookat_reaction,7,1,1,1,1,1,1,0,1,1,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_we_delta,1,1,0,0,0,0,0,0,0,1,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_relax_johnny,7,1,1,1,1,1,1,0,1,5,2,4
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_pissed_02,7,1,1,1,1,1,1,0,1,7,3,5
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_inital_pose2,7,1,1,1,1,1,1,0,1,3,2,4
base\quest\testgym\meethanako.scenesolution,q115_00b_262,7,1,1,1,1,1,1,0,1,1,1,1
base\quest\testgym\meethanako.scenesolution,q115_00b_no_love_for_corpo_01,7,1,1,1,1,1,1,0,1,4,2,4
base\quest\testgym\meethanako.scenesolution,q115_00b_time,7,1,1,1,1,1,1,0,1,3,1,1
base\quest\testgym\meethanako.scenesolution,q115_00b_shock,1,1,0,0,0,0,0,0,0,0,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_conclusion,13,1,2,2,2,2,2,0,2,13,5,6
base\quest\testgym\meethanako.scenesolution,q115_00b_power,1,1,0,0,0,0,0,0,0,1,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_family,1,1,0,0,0,0,0,0,0,1,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_corporation,1,1,0,0,0,0,0,0,0,1,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_dont_know,1,1,0,0,0,0,0,0,0,1,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_family_answer_01,13,1,2,2,2,2,2,0,2,6,4,4
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_beginning,13,1,2,2,2,2,2,0,2,11,4,4
base\quest\testgym\meethanako.scenesolution,q115_00b_ym mo,7,1,1,1,1,1,1,0,1,3,1,1
base\quest\testgym\meethanako.scenesolution,q115_00b_common_section,7,1,1,1,1,1,1,0,1,14,7,8
base\quest\testgym\meethanako.scenesolution,q115_00b_cut_to_the_chase,7,1,1,1,1,1,1,0,1,4,1,1
base\quest\testgym\meethanako.scenesolution,q115_00b_soulkiller_do_you_have,7,1,1,1,1,1,1,0,1,3,1,1
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_comment_02,7,1,1,1,1,1,1,0,1,2,1,1
base\quest\testgym\meethanako.scenesolution,q115_00b_let_me_hear,7,1,1,1,1,1,1,0,1,7,2,2
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_nervous,7,1,1,1,1,1,1,0,1,13,5,7
base\quest\testgym\meethanako.scenesolution,q115_00b_what_do_u_mean,13,1,2,2,2,2,2,0,2,8,5,5
base\quest\testgym\meethanako.scenesolution,q115_00b_angry_mean,13,1,2,2,2,2,2,0,2,10,6,11
base\quest\testgym\meethanako.scenesolution,q115_00b_mikoshi,13,1,2,2,1,2,2,0,2,26,10,16
base\quest\testgym\meethanako.scenesolution,q115_00b_36,7,1,1,1,1,1,1,0,1,1,2,2
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_comment_03,7,1,1,1,1,1,1,0,1,7,2,4
base\quest\testgym\meethanako.scenesolution,q115_00b_shut_up_johnny,7,1,1,1,1,1,1,0,1,2,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_disturbing_conlusion,13,1,2,2,2,2,2,0,2,7,3,4
base\quest\testgym\meethanako.scenesolution,q115_00b_stopping_scenespots,13,1,2,2,2,2,2,0,2,6,4,4
base\quest\testgym\meethanako.scenesolution,q115_00b_mikoshi_go_one,7,1,1,1,1,1,1,0,1,3,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_mikoshi_how_is_that,7,1,1,1,1,1,1,0,1,2,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_drinking,9,1,1,1,1,2,1,0,1,8,3,5
base\quest\testgym\meethanako.scenesolution,q115_00b_my_brother,13,1,2,2,2,2,2,0,2,6,1,3
base\quest\testgym\meethanako.scenesolution,q115_00b_player_sitting_animation,7,1,1,1,1,1,1,0,1,2,2,2
base\quest\testgym\meethanako.scenesolution,TestSectionConOne,13,1,2,2,2,2,2,0,2,1,1,1
base\quest\testgym\meethanako.scenesolution,TestSectionConTwo,13,1,2,2,2,2,2,0,2,1,2,2
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_comment_04,7,1,1,1,1,1,1,0,1,6,4,4
base\quest\testgym\meethanako.scenesolution,lookat_01,7,1,1,1,1,1,1,0,1,1,0,0
base\quest\testgym\meethanako.scenesolution,lookat_02,7,1,1,1,1,1,1,0,1,1,0,0
base\quest\testgym\meethanako.scenesolution,q115_00b_lookat_03,7,1,1,1,1,1,1,0,1,1,0,0
base\quest\testgym\meethanako.scenesolution,facial_animation_01,7,1,1,1,1,1,1,0,1,1,1,1
base\quest\testgym\meethanako.scenesolution,facial_animation_02,7,1,1,1,1,1,1,0,1,1,1,1
base\quest\testgym\meethanako.scenesolution,facial_animation_03,7,1,1,1,1,1,1,0,1,1,1,1
base\quest\testgym\meethanako.scenesolution,q115_00b_35,7,1,1,1,1,1,1,0,1,1,1,1
base\quest\testgym\meethanako.scenesolution,q115_00b_kill_brother,7,1,1,1,1,1,1,0,1,4,1,1
base\quest\testgym\meethanako.scenesolution,q115_00b_business_of_arasakas,14,1,2,2,2,3,2,0,2,7,3,5
base\quest\testgym\meethanako.scenesolution,q115_00b_what_hanako,13,1,2,2,2,2,2,0,2,10,3,3
