场景路径,Section名称,轨道序号,轨道名称,轨道类型,剪辑数量
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_movement,1,dialog lines,1,1
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_movement,2,guard_street_01,2,0
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_movement,3,idle,3,0
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_movement,4,animation,4,0
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_movement,5,facial,5,0
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_movement,6,lookAt,6,1
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_movement,7,logic,8,2
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_movement,8,guard_street_02,2,0
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_movement,9,idle,3,1
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_movement,10,animation,4,0
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_movement,11,facial,5,0
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_movement,12,lookAt,6,1
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_movement,13,logic,8,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_nod,1,dialog lines,1,1
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_nod,2,guard_street_02,2,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_nod,3,idle,3,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_nod,4,animation,4,1
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_nod,5,facial,5,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_nod,6,lookAt,6,0
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_nod,7,logic,8,0
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_to_hanako,1,dialog lines,1,2
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_to_hanako,2,guard_street_01,2,0
base\quest\testgym\meethanako.scenesolution,q115_00b_street_guard_to_hanako,3,idle,3,0
