场景路径,段落名称,动画名称,使用次数
base\quest\testgym\meethanako.scenesolution,q115_00b_41,stand__2h_back__01__to__walk_0__turn0__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_41,fpp_idle_stand,1
base\quest\testgym\meethanako.scenesolution,q115_00b_26,fpp_idle_stand,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_conclusion,stand__2h_back__01__to__walk_0__turn0__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_conclusion,fpp_idle_stand,1
base\quest\testgym\meethanako.scenesolution,q115_00b_40,stand__2h_front__01__to__walk_0__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_40,fpp_idle_stand,1
base\quest\testgym\meethanako.scenesolution,q115_00b_nervous_johnny,johnny__stand_bar_lean0__2h_on_bar__01__shuffle__02,1
base\quest\testgym\meethanako.scenesolution,q115_00b_nervous_johnny,fpp_idle_stand,1
base\quest\testgym\meethanako.scenesolution,q115_00b_furious_johnny,fpp_idle_stand,1
base\quest\testgym\meethanako.scenesolution,q115_00b_furious_johnny,johnny__stand_bar_lean0__2h_on_bar__01__to__walk_0__turn45__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_angry_johnny,johnny__stand_bar_lean0__2h_on_bar__01__shuffle__02,1
base\quest\testgym\meethanako.scenesolution,q115_00b_angry_johnny,fpp_idle_stand,1
base\quest\testgym\meethanako.scenesolution,q115_00b_18,stand__2h_front__01__to__walk_0__turn180l__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_18,fpp_idle_stand,1
base\quest\testgym\meethanako.scenesolution,q115_00b_v_getting_from_the_bar_animation,sit_barstool_bar_lean270__lh_on_bar__02__to__stand__2h_on_sides__01__turn90__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_v_getting_from_the_bar_animation,fpp_idle_stand,1
base\quest\testgym\meethanako.scenesolution,q115_00b_15,stand__2h_back__01__to__walk_0__turn270__01,2
base\quest\testgym\meethanako.scenesolution,q115_00b_15,fpp_idle_stand,2
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_to_hanako,fpp_idle_stand,1
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_to_hanako,stand__2h_front__01__to__walk0__turn225__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_30,hanako__stand__2h_front__01__to__walk_0__turn180__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_30,fpp_idle_stand,1
base\quest\testgym\meethanako.scenesolution,q115_00b_31,stand__2h_front__01__to__walk_0__01,1
base\quest\testgym\meethanako.scenesolution,q115_00b_31,fpp_idle_stand,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_furious_johnny,fpp_idle_stand,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_furious_johnny,johnny__stand_bar_lean0__2h_on_bar__01__to__walk_0__turn45__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_angry_johnny,johnny__stand_bar_lean0__2h_on_bar__01__shuffle__02,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_angry_johnny,fpp_idle_stand,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_nervous_johnny,johnny__stand_bar_lean0__2h_on_bar__01__shuffle__02,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_nervous_johnny,fpp_idle_stand,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_conclusion,stand__2h_back__01__to__walk_0__turn0__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_conclusion,fpp_idle_stand,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_v_getting_from_the_bar_animation,sit_barstool_bar_lean270__lh_on_bar__02__to__stand__2h_on_sides__01__turn90__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_v_getting_from_the_bar_animation,fpp_idle_stand,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_guard_to_hanako,fpp_idle_stand,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_guard_to_hanako,stand__2h_front__01__to__walk0__turn225__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_15,stand__2h_back__01__to__walk_0__turn270__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_15,fpp_idle_stand,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_18,stand__2h_front__01__to__walk_0__turn180l__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_18,fpp_idle_stand,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_24,stand__2h_front__01__to__walk_0__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_24,fpp_idle_stand,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_26,fpp_idle_stand,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_30,hanako__stand__2h_front__01__to__walk_0__turn180__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_30,fpp_idle_stand,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_31,stand__2h_front__01__to__walk_0__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_31,fpp_idle_stand,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_40,stand__2h_front__01__to__walk_0__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_40,fpp_idle_stand,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_41,stand__2h_back__01__to__walk_0__turn0__01,1
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_41,fpp_idle_stand,1
