序号,文件名,相对路径
1,default_cw.anims,cyberware\default_cw.anims
2,default_cw_player.anims,cyberware\default_cw_player.anims
3,pma_default_cw.anims,cyberware\pma_default_cw.anims
4,cw_armshield.anims,cyberware\armshield\cw_armshield.anims
5,pma_armshield.anims,cyberware\armshield\pma_armshield.anims
6,pwa_armshield.anims,cyberware\armshield\pwa_armshield.anims
7,cw_jammer.anims,cyberware\jammer\cw_jammer.anims
8,pma_jammer.anims,cyberware\jammer\pma_jammer.anims
9,pwa_jammer.anims,cyberware\jammer\pwa_jammer.anims
10,cw_launcher_ma.anims,cyberware\launcher\cw_launcher_ma.anims
11,cw_launcher_wa.anims,cyberware\launcher\cw_launcher_wa.anims
12,pma_launcher.anims,cyberware\launcher\pma_launcher.anims
13,pwa_launcher.anims,cyberware\launcher\pwa_launcher.anims
14,cw_mantisblade.anims,cyberware\mantisblade\cw_mantisblade.anims
15,cw_mantisblade_finisher.anims,cyberware\mantisblade\cw_mantisblade_finisher.anims
16,face_ma_mantisblade_finisher.anims,cyberware\mantisblade\face_ma_mantisblade_finisher.anims
17,face_wa_mantisblade_finisher.anims,cyberware\mantisblade\face_wa_mantisblade_finisher.anims
18,mantisblade_01_enemy_face.anims,cyberware\mantisblade\mantisblade_01_enemy_face.anims
19,ma_mantisblade_finisher.anims,cyberware\mantisblade\ma_mantisblade_finisher.anims
20,pma_mantisblade.anims,cyberware\mantisblade\pma_mantisblade.anims
21,pma_mantisblade_finisher.anims,cyberware\mantisblade\pma_mantisblade_finisher.anims
22,pwa_mantisblade.anims,cyberware\mantisblade\pwa_mantisblade.anims
23,pwa_mantisblade_finisher.anims,cyberware\mantisblade\pwa_mantisblade_finisher.anims
24,cw_monowire.anims,cyberware\monowire\cw_monowire.anims
25,pma_monowire.anims,cyberware\monowire\pma_monowire.anims
26,pwa_monowire.anims,cyberware\monowire\pwa_monowire.anims
27,cw_personal_link.anims,cyberware\personal_link\cw_personal_link.anims
28,cw_personal_link_brokenterminal.anims,cyberware\personal_link\cw_personal_link_brokenterminal.anims
29,ma_personal_link_takedown.anims,cyberware\personal_link\ma_personal_link_takedown.anims
30,personal_link_takedown_face.anims,cyberware\personal_link\personal_link_takedown_face.anims
31,pma_personal_link.anims,cyberware\personal_link\pma_personal_link.anims
32,pma_personal_link_takedown.anims,cyberware\personal_link\pma_personal_link_takedown.anims
33,pwa_personal_link.anims,cyberware\personal_link\pwa_personal_link.anims
34,pwa_personal_link_brokenterminal.anims,cyberware\personal_link\pwa_personal_link_brokenterminal.anims
35,pwa_personal_link_spiderbot.anims,cyberware\personal_link\pwa_personal_link_spiderbot.anims
36,pwa_personal_link_takedown.anims,cyberware\personal_link\pwa_personal_link_takedown.anims
37,cw_strongarms_pma.anims,cyberware\strongarms\cw_strongarms_pma.anims
38,cw_strongarms_pwa.anims,cyberware\strongarms\cw_strongarms_pwa.anims
39,door_double_deformable_strongarms.anims,cyberware\strongarms\door_double_deformable_strongarms.anims
40,door_single_deformable_strongarms.anims,cyberware\strongarms\door_single_deformable_strongarms.anims
41,pma_strongarms.anims,cyberware\strongarms\pma_strongarms.anims
42,pwa_strongarms.anims,cyberware\strongarms\pwa_strongarms.anims
43,strongarms_environment.anims,cyberware\strongarms\strongarms_environment.anims
44,pma_strongarms_melee_fists.anims,cyberware\strongarms\strongarms_melee_fists\pma_strongarms_melee_fists.anims
45,pwa_strongarms_melee_fists.anims,cyberware\strongarms\strongarms_melee_fists\pwa_strongarms_melee_fists.anims
46,megabuilding__walk_downstairs.anims,e3_2018\npc\generic_characters\male_average\open_world\e3_megabuilding_walk_downstairs\megabuilding__walk_downstairs.anims
47,e3_megabuilding_walk_upstairs.anims,e3_2018\npc\generic_characters\male_average\open_world\e3_megabuilding_walk_upstairs\e3_megabuilding_walk_upstairs.anims
48,facial_01.anims,facial\facial_01.anims
49,generic_average_female_facial_custom_animations.anims,facial\female_average\interactive_scene\generic_average_female_facial_custom_animations.anims
50,generic_average_female_facial_gestures.anims,facial\female_average\interactive_scene\generic_average_female_facial_gestures.anims
51,generic_average_female_facial_idle.anims,facial\female_average\interactive_scene\generic_average_female_facial_idle.anims
52,generic_average_female_facial_idle_poses.anims,facial\female_average\interactive_scene\generic_average_female_facial_idle_poses.anims
53,generic_average_female_facial_quirks.anims,facial\female_average\interactive_scene\generic_average_female_facial_quirks.anims
54,generic_average_female_facial_transitions.anims,facial\female_average\interactive_scene\generic_average_female_facial_transitions.anims
55,generic_average_female_facial_transitions_correctives.anims,facial\female_average\interactive_scene\generic_average_female_facial_transitions_correctives.anims
56,face_gang_hammer_action.anims,facial\gameplay\face_gang_hammer_action.anims
57,face_reaction_base.anims,facial\gameplay\face_reaction_base.anims
58,face_environmental_takedowns.anims,facial\gameplay\mb_environmental_takedowns\face_environmental_takedowns.anims
59,generic_facial_additives.anims,facial\generic\interactive_scene\generic_facial_additives.anims
60,generic_facial_combat.anims,facial\generic\interactive_scene\generic_facial_combat.anims
61,generic_facial_gestures.anims,facial\generic\interactive_scene\generic_facial_gestures.anims
62,generic_facial_lipsync_gestures.anims,facial\generic\interactive_scene\generic_facial_lipsync_gestures.anims
63,brigitte__facial_idle.anims,facial\main_characters\brigitte\brigitte__facial_idle.anims
64,evelyn_facial_custom_animations.anims,facial\main_characters\evelyn\evelyn_facial_custom_animations.anims
65,evelyn_facial_idle.anims,facial\main_characters\evelyn\evelyn_facial_idle.anims
66,evelyn_facial_idle_poses.anims,facial\main_characters\evelyn\evelyn_facial_idle_poses.anims
67,jackie_welles_facial_custom_animations.anims,facial\main_characters\jackie_welles\jackie_welles_facial_custom_animations.anims
68,jackie_welles__facial_idle.anims,facial\main_characters\jackie_welles\jackie_welles__facial_idle.anims
69,jackie_welles__facial_idle_poses.anims,facial\main_characters\jackie_welles\jackie_welles__facial_idle_poses.anims
70,johnny__facial_idle.anims,facial\main_characters\johnny\johnny__facial_idle.anims
71,johnny__facial_idle_poses.anims,facial\main_characters\johnny\johnny__facial_idle_poses.anims
72,joshua_stephenson__facial_idle.anims,facial\main_characters\joshua_stephenson\joshua_stephenson__facial_idle.anims
73,joshua_stephenson__facial_idle_poses.anims,facial\main_characters\joshua_stephenson\joshua_stephenson__facial_idle_poses.anims
74,judy_facial_idle.anims,facial\main_characters\judy\judy_facial_idle.anims
75,judy_facial_idle_poses.anims,facial\main_characters\judy\judy_facial_idle_poses.anims
76,panam_facial_custom_animations.anims,facial\main_characters\panam\panam_facial_custom_animations.anims
77,panam_facial_idle.anims,facial\main_characters\panam\panam_facial_idle.anims
78,panam_facial_idle_poses.anims,facial\main_characters\panam\panam_facial_idle_poses.anims
79,placide__facial_idle.anims,facial\main_characters\placide\placide__facial_idle.anims
80,river_facial_custom_animation.anims,facial\main_characters\river\river_facial_custom_animation.anims
81,rogue_facial_idle.anims,facial\main_characters\rogue\rogue_facial_idle.anims
82,rogue_facial_idle_poses.anims,facial\main_characters\rogue\rogue_facial_idle_poses.anims
83,e3_male_average_custom_animations.anims,facial\male_average\interactive_scene\e3_male_average_custom_animations.anims
84,generic_average_male_facial_custom_animations.anims,facial\male_average\interactive_scene\generic_average_male_facial_custom_animations.anims
85,generic_average_male_facial_gestures.anims,facial\male_average\interactive_scene\generic_average_male_facial_gestures.anims
86,generic_average_male_facial_idle.anims,facial\male_average\interactive_scene\generic_average_male_facial_idle.anims
87,generic_average_male_facial_idle_poses.anims,facial\male_average\interactive_scene\generic_average_male_facial_idle_poses.anims
88,generic_average_male_facial_quirks.anims,facial\male_average\interactive_scene\generic_average_male_facial_quirks.anims
89,generic_average_male_facial_transitions.anims,facial\male_average\interactive_scene\generic_average_male_facial_transitions.anims
