scene_name,quest_category,choice_sections,normal_sections,total_sections,total_lines,file_path
cp77_chicken_test,test,17,0,17,68,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\test\cp77_chicken_test.scnlocjson
cp77_debug_central,test,26,0,26,72,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\test\cp77_debug_central.scnlocjson
bob_default,tertiary_characters,1,1,2,2,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\tertiary_characters\default_dialogues\bob_default.scnlocjson
carol_default,tertiary_characters,1,1,2,2,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\tertiary_characters\default_dialogues\carol_default.scnlocjson
cassidy_default,tertiary_characters,1,1,2,2,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\tertiary_characters\default_dialogues\cassidy_default.scnlocjson
claire_default,tertiary_characters,1,15,16,41,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\tertiary_characters\default_dialogues\claire_default.scnlocjson
dumdum_default,tertiary_characters,2,4,6,14,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\tertiary_characters\default_dialogues\dumdum_default.scnlocjson
elizabeth_peralez_default,tertiary_characters,1,8,9,36,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\tertiary_characters\default_dialogues\elizabeth_peralez_default.scnlocjson
gloria_default,tertiary_characters,2,2,4,4,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\tertiary_characters\default_dialogues\gloria_default.scnlocjson
joss_default,tertiary_characters,8,34,42,140,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\tertiary_characters\default_dialogues\joss_default.scnlocjson
kerry_default,tertiary_characters,2,16,18,76,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\tertiary_characters\default_dialogues\kerry_default.scnlocjson
mama_welles_default,tertiary_characters,1,10,11,34,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\tertiary_characters\default_dialogues\mama_welles_default.scnlocjson
misty_default,tertiary_characters,8,60,68,145,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\tertiary_characters\default_dialogues\misty_default.scnlocjson
mitch_default,tertiary_characters,2,7,9,31,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\tertiary_characters\default_dialogues\mitch_default.scnlocjson
nix_default,tertiary_characters,1,5,6,23,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\tertiary_characters\default_dialogues\nix_default.scnlocjson
placide_default,tertiary_characters,1,7,8,18,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\tertiary_characters\default_dialogues\placide_default.scnlocjson
royce_default,tertiary_characters,2,4,6,17,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\tertiary_characters\default_dialogues\royce_default.scnlocjson
teddy_default,tertiary_characters,1,1,2,2,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\tertiary_characters\default_dialogues\teddy_default.scnlocjson
totentanz_bouncer_default,tertiary_characters,1,5,6,10,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\tertiary_characters\default_dialogues\totentanz_bouncer_default.scnlocjson
victor_vector_default,tertiary_characters,6,27,33,105,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\tertiary_characters\default_dialogues\victor_vector_default.scnlocjson
voodoo_queen_default,tertiary_characters,2,7,9,29,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\tertiary_characters\default_dialogues\voodoo_queen_default.scnlocjson
yawen_packard_default,tertiary_characters,1,2,3,8,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\tertiary_characters\default_dialogues\yawen_packard_default.scnlocjson
zuleikha_default,tertiary_characters,2,2,4,4,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\tertiary_characters\default_dialogues\zuleikha_default.scnlocjson
vset_anders,tertiary_characters,0,11,11,11,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\tertiary_characters\vsets\vset_anders.scnlocjson
vset_blue_moon,tertiary_characters,0,2,2,2,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\tertiary_characters\vsets\vset_blue_moon.scnlocjson
vset_bob,tertiary_characters,0,20,20,20,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\tertiary_characters\vsets\vset_bob.scnlocjson
vset_carol,tertiary_characters,0,20,20,20,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\tertiary_characters\vsets\vset_carol.scnlocjson
vset_cassidy,tertiary_characters,0,20,20,20,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\tertiary_characters\vsets\vset_cassidy.scnlocjson
vset_claire,tertiary_characters,0,24,24,24,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\tertiary_characters\vsets\vset_claire.scnlocjson
vset_dex_bodyguard,tertiary_characters,0,10,10,10,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\tertiary_characters\vsets\vset_dex_bodyguard.scnlocjson
vset_dumdum,tertiary_characters,0,22,22,24,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\tertiary_characters\vsets\vset_dumdum.scnlocjson
vset_elizabeth_peralez,tertiary_characters,0,12,12,12,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\tertiary_characters\vsets\vset_elizabeth_peralez.scnlocjson
vset_emmerick,tertiary_characters,0,0,0,0,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\tertiary_characters\vsets\vset_emmerick.scnlocjson
vset_fingers,tertiary_characters,0,10,10,10,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\tertiary_characters\vsets\vset_fingers.scnlocjson
