scene_name,quest_category,choice_sections,normal_sections,total_sections,total_lines,file_path
q201_00_chicken_test,main_quests/epilogue/q201,6,6,12,29,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\epilogue\q201\scenes\q201_00_chicken_test.scnlocjson
q201_01_cyberspace,main_quests/epilogue/q201,8,44,52,144,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\epilogue\q201\scenes\q201_01_cyberspace.scnlocjson
q201_02_operation_room,main_quests/epilogue/q201,10,53,63,106,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\epilogue\q201\scenes\q201_02_operation_room.scnlocjson
q201_03_cabin_day_1,main_quests/epilogue/q201,19,113,132,175,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\epilogue\q201\scenes\q201_03_cabin_day_1.scnlocjson
q201_04_cabin_day_2,main_quests/epilogue/q201,26,122,148,184,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\epilogue\q201\scenes\q201_04_cabin_day_2.scnlocjson
q201_05_cabin_day_7,main_quests/epilogue/q201,11,46,57,195,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\epilogue\q201\scenes\q201_05_cabin_day_7.scnlocjson
q201_06_cabin_day_8_to_29,main_quests/epilogue/q201,17,69,86,97,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\epilogue\q201\scenes\q201_06_cabin_day_8_to_29.scnlocjson
q201_07_cabin_day_30,main_quests/epilogue/q201,16,100,116,185,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\epilogue\q201\scenes\q201_07_cabin_day_30.scnlocjson
q201_08_cabin_day_30_takemura,main_quests/epilogue/q201,16,101,117,187,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\epilogue\q201\scenes\q201_08_cabin_day_30_takemura.scnlocjson
q202_01_motel,main_quests/epilogue/q202,11,55,66,148,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\epilogue\q202\scenes\q202_01_motel.scnlocjson
q202_04a_badlands_travel,main_quests/epilogue/q202,2,21,23,68,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\epilogue\q202\scenes\q202_04a_badlands_travel.scnlocjson
q202_05_convoy,main_quests/epilogue/q202,28,235,263,434,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\epilogue\q202\scenes\q202_05_convoy.scnlocjson
q202_06_border_running,main_quests/epilogue/q202,2,35,37,95,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\epilogue\q202\scenes\q202_06_border_running.scnlocjson
q203_01_wakeup,main_quests/epilogue/q203,1,3,4,7,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\epilogue\q203\scenes\q203_01_wakeup.scnlocjson
q203_02b_kerry,main_quests/epilogue/q203,22,54,76,162,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\epilogue\q203\scenes\q203_02b_kerry.scnlocjson
q203_02c_judy,main_quests/epilogue/q203,20,59,79,149,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\epilogue\q203\scenes\q203_02c_judy.scnlocjson
q203_02d_panam,main_quests/epilogue/q203,19,45,64,118,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\epilogue\q203\scenes\q203_02d_panam.scnlocjson
q203_02e_rogue,main_quests/epilogue/q203,0,1,1,4,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\epilogue\q203\scenes\q203_02e_rogue.scnlocjson
q203_02_shower,main_quests/epilogue/q203,13,16,29,35,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\epilogue\q203\scenes\q203_02_shower.scnlocjson
q203_03_sobchak,main_quests/epilogue/q203,22,61,83,153,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\epilogue\q203\scenes\q203_03_sobchak.scnlocjson
q203_04_delamain,main_quests/epilogue/q203,9,58,67,194,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\epilogue\q203\scenes\q203_04_delamain.scnlocjson
q203_05_afterlife,main_quests/epilogue/q203,17,90,107,211,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\epilogue\q203\scenes\q203_05_afterlife.scnlocjson
q203_06_cosmos,main_quests/epilogue/q203,7,14,21,25,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\epilogue\q203\scenes\q203_06_cosmos.scnlocjson
q204_01_waking_up,main_quests/epilogue/q204,9,23,32,27,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\epilogue\q204\scenes\q204_01_waking_up.scnlocjson
q204_02_at_steves,main_quests/epilogue/q204,5,25,30,55,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\epilogue\q204\scenes\q204_02_at_steves.scnlocjson
q204_03b_after_dad,main_quests/epilogue/q204,3,21,24,48,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\epilogue\q204\scenes\q204_03b_after_dad.scnlocjson
q204_03_steves_dad,main_quests/epilogue/q204,1,26,27,63,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\epilogue\q204\scenes\q204_03_steves_dad.scnlocjson
q204_04_to_music_store,main_quests/epilogue/q204,11,30,41,117,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\epilogue\q204\scenes\q204_04_to_music_store.scnlocjson
q204_05b_music_store_chats,main_quests/epilogue/q204,0,3,3,16,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\epilogue\q204\scenes\q204_05b_music_store_chats.scnlocjson
q204_05_buying_guitar,main_quests/epilogue/q204,27,88,115,241,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\epilogue\q204\scenes\q204_05_buying_guitar.scnlocjson
q204_06_to_columbarium,main_quests/epilogue/q204,7,28,35,93,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\epilogue\q204\scenes\q204_06_to_columbarium.scnlocjson
q204_08_farewell,main_quests/epilogue/q204,6,14,20,25,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\epilogue\q204\scenes\q204_08_farewell.scnlocjson
q204_09_bus_station,main_quests/epilogue/q204,4,20,24,63,D:\AppSoft\Sy2077\2077\2077\CDPR2077\r6\depot\base\quest\main_quests\epilogue\q204\scenes\q204_09_bus_station.scnlocjson
